Position Number, FEN, Variance, Standard Deviation, MAD, IQR
72, 6k1/R6p/3p1bp1/8/2b2P2/7P/4N3/4rBK1 w - - 1 37, 124, 47.537774453585854, 28.0, 75.0
73, R5k1/7p/3p1bp1/8/2b2P2/7P/4N3/4rBK1 b - - 2 37, 797, 370.63279221713054, 22.0, 398.5
74, R7/5k1p/3p1bp1/8/2b2P2/7P/4N3/4rBK1 w - - 3 38, 176, 71.16740827092131, 56.0, 135.0
75, 8/R4k1p/3p1bp1/8/2b2P2/7P/4N3/4rBK1 b - - 4 38, 338, 130.59647774729606, 65.0, 203.0
76, 8/R6p/3pkbp1/8/2b2P2/7P/4N3/4rBK1 w - - 5 39, 197, 74.45643021257466, 62.0, 118.0
77, 8/7p/3pkbp1/8/2b2P2/R6P/4N3/4rBK1 b - - 6 39, 110, 39.27645605194033, 17.0, 21.0
78, 8/7p/4kbp1/3p4/2b2P2/R6P/4N3/4rBK1 w - - 0 40, 103, 34.55777770632828, 24.0, 34.0
79, 8/7p/4kbp1/3p4/2b2P2/R6P/4NK2/4rB2 b - - 1 40, 441, 154.30929978455606, 120.0, 168.0
80, 8/7p/4k1p1/3p4/2b2P1b/R6P/4NK2/4rB2 w - - 2 41, 201, 79.52760527011989, 42.0, 130.0
81, 8/7p/4k1p1/3p4/2b2P1b/R6P/4N1K1/4rB2 b - - 3 41, 100, 36.09764535257113, 38.0, 49.0
82, 8/7p/3k2p1/3p4/2b2P1b/R6P/4N1K1/4rB2 w - - 4 42, 157, 60.33373848851072, 29.0, 92.0
83, 8/7p/3k2p1/3p4/2b2P1b/R5NP/6K1/4rB2 b - - 5 42, 118, 49.205690727800985, 26.0, 94.0
84, 8/7p/3k2p1/3p4/2b2P2/R5bP/6K1/4rB2 w - - 0 43, 241, 86.34813257969161, 6.0, 12.0
85, 8/7p/3k2p1/3p4/2B2P2/R5bP/6K1/4r3 b - - 0 43, 495, 191.3766965960067, 4.0, 151.0
86, 8/7p/3k2p1/8/2p2P2/R5bP/6K1/4r3 w - - 0 44, 125, 47.60084032871689, 58.0, 79.0
87, 8/7p/3k2p1/8/2p2P2/R5KP/8/4r3 b - - 0 44, 52, 18.542923178398816, 12.0, 21.0
88, 8/7p/6p1/3k4/2p2P2/R5KP/8/4r3 w - - 1 45, 87, 30.72848841059384, 7.0, 12.0
89, 8/R6p/6p1/3k4/2p2P2/6KP/8/4r3 b - - 2 45, 38, 13.64404632064843, 3.0, 3.0
90, 8/R6p/6p1/3k4/5P2/2p3KP/8/4r3 w - - 0 46, 290, 96.20686046223523, 46.0, 64.0
91, 8/2R4p/6p1/3k4/5P2/2p3KP/8/4r3 b - - 1 46, 534, 200.4618666978835, 43.0, 72.0
92, 8/2R4p/6p1/8/3k1P2/2p3KP/8/4r3 w - - 2 47, 40, 17.001176429882726, 5.0, 31.0
93, 8/3R3p/6p1/8/3k1P2/2p3KP/8/4r3 b - - 3 47, 538, 232.67251664087874, 0.5, 134.5
