Processing window size 3...
Building nouns list from Inaugural corpus...
Word: army, Uniqueness Value: 20
Word: acts, Uniqueness Value: 20
Word: continent, Uniqueness Value: 20
Word: tax, Uniqueness Value: 20
Word: pledge, Uniqueness Value: 20
Word: reform, Uniqueness Value: 20
Word: sections, Uniqueness Value: 20
Word: lines, Uniqueness Value: 20
Word: help, Uniqueness Value: 20
Word: vision, Uniqueness Value: 20
Word: journey, Uniqueness Value: 20
Word: representatives, Uniqueness Value: 19
Word: functions, Uniqueness Value: 19
Word: public, Uniqueness Value: 19
Word: virtue, Uniqueness Value: 19
Word: birth, Uniqueness Value: 19
Word: intelligence, Uniqueness Value: 19
Word: adoption, Uniqueness Value: 19
Word: operation, Uniqueness Value: 19
Word: schools, Uniqueness Value: 19
Word: agriculture, Uniqueness Value: 19
Word: europe, Uniqueness Value: 19
Word: sentiment, Uniqueness Value: 19
Word: amendment, Uniqueness Value: 19
Word: counsel, Uniqueness Value: 19
Word: source, Uniqueness Value: 19
Word: passion, Uniqueness Value: 19
Word: causes, Uniqueness Value: 19
Word: navy, Uniqueness Value: 19
Word: price, Uniqueness Value: 19
Word: burdens, Uniqueness Value: 19
Word: confederacy, Uniqueness Value: 19
Word: products, Uniqueness Value: 19
Word: settlement, Uniqueness Value: 19
Word: enforcement, Uniqueness Value: 19
Word: centuries, Uniqueness Value: 19
Word: dream, Uniqueness Value: 19
Word: satisfaction, Uniqueness Value: 18
Word: advantage, Uniqueness Value: 18
Word: good, Uniqueness Value: 18
Word: suffrage, Uniqueness Value: 18
Word: ours, Uniqueness Value: 18
Word: pride, Uniqueness Value: 18
Word: enemies, Uniqueness Value: 18
Word: endeavor, Uniqueness Value: 18
Word: blood, Uniqueness Value: 18
Word: understanding, Uniqueness Value: 18
Word: maintenance, Uniqueness Value: 18
Word: burden, Uniqueness Value: 18
Word: establishment, Uniqueness Value: 18
Word: branch, Uniqueness Value: 18
Word: treasury, Uniqueness Value: 18
Word: standards, Uniqueness Value: 18
Word: dreams, Uniqueness Value: 18
Word: changes, Uniqueness Value: 18
Word: challenge, Uniqueness Value: 18
Word: great, Uniqueness Value: 17
Word: sentiments, Uniqueness Value: 17
Word: genius, Uniqueness Value: 17
Word: idea, Uniqueness Value: 17
Word: violence, Uniqueness Value: 17
Word: religion, Uniqueness Value: 17
Word: sound, Uniqueness Value: 17
Word: predecessor, Uniqueness Value: 17
Word: coast, Uniqueness Value: 17
Word: organization, Uniqueness Value: 17
Word: evil, Uniqueness Value: 17
Word: section, Uniqueness Value: 17
Word: subjects, Uniqueness Value: 17
Word: voices, Uniqueness Value: 17
Word: balance, Uniqueness Value: 17
Word: needs, Uniqueness Value: 17
Word: policies, Uniqueness Value: 17
Word: families, Uniqueness Value: 17
Word: challenges, Uniqueness Value: 17
Word: senate, Uniqueness Value: 16
Word: event, Uniqueness Value: 16
Word: consequences, Uniqueness Value: 16
Word: station, Uniqueness Value: 16
Word: gratitude, Uniqueness Value: 16
Word: advancement, Uniqueness Value: 16
Word: manufactures, Uniqueness Value: 16
Word: situation, Uniqueness Value: 16
Word: authorities, Uniqueness Value: 16
Word: guidance, Uniqueness Value: 16
Word: general, Uniqueness Value: 16
Word: decisions, Uniqueness Value: 16
Word: trial, Uniqueness Value: 16
Word: offices, Uniqueness Value: 16
Word: declaration, Uniqueness Value: 16
Word: minds, Uniqueness Value: 16
Word: jurisdiction, Uniqueness Value: 16
Word: sides, Uniqueness Value: 16
Word: term, Uniqueness Value: 16
Word: production, Uniqueness Value: 16
Word: north, Uniqueness Value: 16
Word: construction, Uniqueness Value: 16
Word: privilege, Uniqueness Value: 16
Word: territories, Uniqueness Value: 16
Word: relief, Uniqueness Value: 16
Word: performance, Uniqueness Value: 16
Word: prayer, Uniqueness Value: 16
Word: ways, Uniqueness Value: 16
Word: bonds, Uniqueness Value: 16
Word: homes, Uniqueness Value: 16
Word: beginning, Uniqueness Value: 16
Word: waste, Uniqueness Value: 15
Word: continuance, Uniqueness Value: 15
Word: name, Uniqueness Value: 15
Word: everything, Uniqueness Value: 15
Word: concerns, Uniqueness Value: 15
Word: places, Uniqueness Value: 15
Word: foundations, Uniqueness Value: 15
Word: discussion, Uniqueness Value: 15
Word: benefit, Uniqueness Value: 15
Word: advantages, Uniqueness Value: 15
Word: depression, Uniqueness Value: 15
Word: leaders, Uniqueness Value: 15
Word: eyes, Uniqueness Value: 15
Word: privileges, Uniqueness Value: 15
Word: hour, Uniqueness Value: 15
Word: meaning, Uniqueness Value: 15
Word: thank, Uniqueness Value: 15
Word: bless, Uniqueness Value: 15
Word: decision, Uniqueness Value: 14
Word: liberties, Uniqueness Value: 14
Word: rewards, Uniqueness Value: 14
Word: fire, Uniqueness Value: 14
Word: instance, Uniqueness Value: 14
Word: legislature, Uniqueness Value: 14
Word: branches, Uniqueness Value: 14
Word: cases, Uniqueness Value: 14
Word: issue, Uniqueness Value: 14
Word: contest, Uniqueness Value: 14
Word: thing, Uniqueness Value: 14
Word: limitations, Uniqueness Value: 14
Word: ground, Uniqueness Value: 14
Word: advance, Uniqueness Value: 14
Word: fate, Uniqueness Value: 14
Word: persons, Uniqueness Value: 14
Word: plans, Uniqueness Value: 14
Word: member, Uniqueness Value: 14
Word: battle, Uniqueness Value: 14
Word: crime, Uniqueness Value: 14
Word: invasion, Uniqueness Value: 14
Word: predecessors, Uniqueness Value: 14
Word: session, Uniqueness Value: 14
Word: new, Uniqueness Value: 14
Word: aspirations, Uniqueness Value: 14
Word: expenditure, Uniqueness Value: 14
Word: prejudice, Uniqueness Value: 14
Word: relation, Uniqueness Value: 14
Word: forbearance, Uniqueness Value: 14
Word: rest, Uniqueness Value: 14
Word: controversies, Uniqueness Value: 14
Word: matter, Uniqueness Value: 14
Word: court, Uniqueness Value: 14
Word: material, Uniqueness Value: 14
Word: industries, Uniqueness Value: 14
Word: politics, Uniqueness Value: 14
Word: program, Uniqueness Value: 14
Word: role, Uniqueness Value: 14
Word: weapons, Uniqueness Value: 14
Word: jobs, Uniqueness Value: 14
Word: difficulty, Uniqueness Value: 13
Word: feelings, Uniqueness Value: 13
Word: talents, Uniqueness Value: 13
